Arecanut
Arhar/Tur
Bajra
Banana
Barley
Black pepper
Brinjal
Cardamom
Cashewnut
Castor seed
Coconut 
Coriander
Cotton(lint)
Cowpea(Lobia)
Dry chillies
Dry ginger
Garlic
Gram
Groundnut
Guar seed
Horse-gram
Jowar
Jute
Khesari
Linseed
Maize
Mango
Masoor
Mesta
Moong(Green Gram)
Moth
Niger seed
Onion
Paddy
Papaya
Peas & beans (Pulses)
Potato
Ragi
Rapeseed &Mustard
Rice
Safflower
Sannhamp
Sesamum
Small millets
Soyabean
Sugarcane
Sunflower
Sweet potato
Tapioca
Tobacco
Tomato
Turmeric
Urad
Wheat
